name	person_id	group_label	dominant_field	canonical_person_id	is_canonical	n_real_persons_in_cluster	group_confidence	cluster_needs_review	merge_key
河合, 潤	alo:person:scholar:kaken:1000060191996	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	True	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000000000269	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000001002431	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000001579496	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000001624163	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000001624238	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000001624331	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000001624389	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000002009971	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000002836571	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000002984711	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000003256367	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000003785118	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000003818902	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000004035449	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000004522176	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000005850419	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
河合, 潤	alo:person:scholar:kaken:9000008177835	河合 潤（分析化学・X線分光／『鑑定不正 カレーヒ素事件』著者）	分析化学・X線分光（科学鑑定批判）	alo:person:scholar:kaken:1000060191996	False	1	low	True	publication_adjudication
