sample_stratum	self_bib_id	self_isbn	self_ndl	bencom_bib_id	bencom_self_count	edition_risk_flag	match_basis	snapshot_date	self_title
collision_priority	alo:book:isbn:9784004312666	9784004312666	000010999562	NOBN_20100917_知的財産法入門_01	3	1	title_normalized_exact	2026-06-22	知的財産法入門
collision_priority	alo:book:isbn:9784313511606	9784313511606	027279491	NOBN_20160518_若手法律家のための法律相談入門_01	2	1	title_normalized_exact	2026-06-22	若手法律家のための法律相談入門
collision_priority	alo:book:isbn:9784313511767	9784313511767	032380672	NOBN_20160518_若手法律家のための法律相談入門_01	2	1	title_normalized_exact	2026-06-22	若手法律家のための法律相談入門
collision_priority	alo:book:isbn:9784417015185	9784417015185	000010954447	NOBN_20160530_独占禁止法の法律相談_01	2	1	title_normalized_exact	2026-06-22	独占禁止法の法律相談
collision_priority	alo:book:isbn:9784417016472	9784417016472	026241795	NOBN_20171120_建築訴訟_01	2	1	title_normalized_exact	2026-06-22	建築訴訟
collision_priority	alo:book:isbn:9784417016847	9784417016847	027293268	NOBN_20160530_独占禁止法の法律相談_01	2	1	title_normalized_exact	2026-06-22	独占禁止法の法律相談
collision_priority	alo:book:isbn:9784417018209	9784417018209	031794034	NOBN_20211130_倒産法_01	2	1	title_normalized_exact	2026-06-22	倒産法
collision_priority	alo:book:isbn:9784492533680	9784492533680	026680314	NOBN_20150828_事業担当者のための逆引きビジネス法務ハンドブック_01	3	1	title_normalized_exact	2026-06-22	事業担当者のための逆引きビジネス法務ハンドブック
collision_priority	alo:book:isbn:9784492533987	9784492533987	028891866	NOBN_20150828_事業担当者のための逆引きビジネス法務ハンドブック_01	3	1	title_normalized_exact	2026-06-22	事業担当者のための逆引きビジネス法務ハンドブック
collision_priority	alo:book:isbn:9784492534397	9784492534397	031508854	NOBN_20150828_事業担当者のための逆引きビジネス法務ハンドブック_01	3	1	title_normalized_exact	2026-06-22	事業担当者のための逆引きビジネス法務ハンドブック
collision_priority	alo:book:isbn:9784502314612	9784502314612	029908623	NOBN_20190902_海外子会社リーガルリスク管理の実務_01	2	1	title_normalized_exact	2026-06-22	海外子会社リーガルリスク管理の実務
collision_priority	alo:book:isbn:9784502516016	9784502516016	033726410	NOBN_20190902_海外子会社リーガルリスク管理の実務_01	2	1	title_normalized_exact	2026-06-22	海外子会社リーガルリスク管理の実務
collision_priority	alo:book:isbn:9784502951909	9784502951909	000008469695	NOBN_20100917_知的財産法入門_01	3	1	title_normalized_exact	2026-06-22	知的財産法入門
collision_priority	alo:book:isbn:9784532111083	9784532111083	000008214267	NOBN_20201201_倒産法入門_01	2	1	title_normalized_exact	2026-06-22	倒産法入門
collision_priority	alo:book:isbn:9784535511088	9784535511088	000002662708	NOBN_20220331_初歩からはじめる物権法_01	2	1	title_normalized_exact	2026-06-22	初歩からはじめる物権法
collision_priority	alo:book:isbn:9784535516595	9784535516595	000010001565	NOBN_20170929_契約法_01	2	1	title_normalized_exact	2026-06-22	契約法
collision_priority	alo:book:isbn:9784535518629	9784535518629	023558190	NOBN_20120425_判例特別刑法_01	2	1	title_normalized_exact	2026-06-22	判例特別刑法
collision_priority	alo:book:isbn:9784535522879	9784535522879	028814356	NOBN_20180220_刑事法廷弁護技術_01	2	1	title_normalized_exact	2026-06-22	刑事法廷弁護技術
collision_priority	alo:book:isbn:9784535525573	9784535525573	032219234	NOBN_20120425_判例特別刑法_01	2	1	title_normalized_exact	2026-06-22	判例特別刑法
collision_priority	alo:book:isbn:9784535527966	9784535527966	033548739	NOBN_20180220_刑事法廷弁護技術_01	2	1	title_normalized_exact	2026-06-22	刑事法廷弁護技術
collision_priority	alo:book:isbn:9784535806634	9784535806634	033284535	NOBN_20170929_契約法_01	2	1	title_normalized_exact	2026-06-22	契約法
collision_priority	alo:book:isbn:9784535806870	9784535806870	029598437	NOBN_20201218_担保物権法_01	3	1	title_normalized_exact	2026-06-22	担保物権法
collision_priority	alo:book:isbn:9784641137769	9784641137769	028177613	NOBN_20201218_担保物権法_01	3	1	title_normalized_exact	2026-06-22	担保物権法
collision_priority	alo:book:isbn:9784641150539	9784641150539	029387358	NOBN_20211130_倒産法_01	2	1	title_normalized_exact	2026-06-22	倒産法
collision_priority	alo:book:isbn:9784766421637	9784766421637	025748546	NOBN_20140920_災害復興法学_01	2	1	title_normalized_exact	2026-06-22	災害復興法学
collision_priority	alo:book:isbn:9784766429183	9784766429183	033075812	NOBN_20140920_災害復興法学_01	2	1	title_normalized_exact	2026-06-22	災害復興法学
collision_priority	alo:book:isbn:9784797211634	9784797211634	000011054209	NOBN_20201218_担保物権法_01	3	1	title_normalized_exact	2026-06-22	担保物権法
collision_priority	alo:book:isbn:9784817842480	9784817842480	026735222	NOBN_20150914_デジタル証拠の法律実務_QA_01	2	1	title_normalized_exact	2026-06-22	デジタル証拠の法律実務Q&A
collision_priority	alo:book:isbn:9784817842824	9784817842824	027065429	NOBN_20160129_信託の理論と実務入門_01	2	1	title_normalized_exact	2026-06-22	信託の理論と実務入門
collision_priority	alo:book:isbn:9784817845757	9784817845757	029813363	NOBN_20190701_広告法律相談125問_01	3	1	title_normalized_exact	2026-06-22	広告法律相談125問
collision_priority	alo:book:isbn:9784817846730	9784817846730	030631656	NOBN_20160129_信託の理論と実務入門_01	2	1	title_normalized_exact	2026-06-22	信託の理論と実務入門
collision_priority	alo:book:isbn:9784817848109	9784817848109	032293687	NOBN_20190701_広告法律相談125問_01	3	1	title_normalized_exact	2026-06-22	広告法律相談125問
collision_priority	alo:book:isbn:9784817849045	9784817849045	033059658	NOBN_20150914_デジタル証拠の法律実務_QA_01	2	1	title_normalized_exact	2026-06-22	デジタル証拠の法律実務Q&A
collision_priority	alo:book:isbn:9784817849168	9784817849168	033134110	NOBN_20190701_広告法律相談125問_01	3	1	title_normalized_exact	2026-06-22	広告法律相談125問
collision_priority	alo:book:isbn:9784865565263	9784865565263	032499768	NOBN_20171120_建築訴訟_01	2	1	title_normalized_exact	2026-06-22	建築訴訟
collision_priority	alo:book:isbn:9784897617060	9784897617060	029050806	NOBN_20180702_実務に即した労災認定の考え方と申請のポイント_01	2	1	title_normalized_exact	2026-06-22	実務に即した労災認定の考え方と申請のポイント
collision_priority	alo:book:isbn:9784897619057	9784897619057	032502572	NOBN_20180702_実務に即した労災認定の考え方と申請のポイント_01	2	1	title_normalized_exact	2026-06-22	実務に即した労災認定の考え方と申請のポイント
collision_priority	alo:book:manual:title_4471	9784532113506	027082153	NOBN_20201201_倒産法入門_01	2	1	title_normalized_exact	2026-06-22	倒産法入門
collision_priority	alo:book:manual:title_4557	9784535514751	000007681137	NOBN_20220331_初歩からはじめる物権法_01	2	1	title_normalized_exact	2026-06-22	初歩からはじめる物権法
collision_priority	alo:book:manual:title_6307	9784641243422	030798599	NOBN_20100917_知的財産法入門_01	3	1	title_normalized_exact	2026-06-22	知的財産法入門
clean_random	alo:book:isbn:9784771035997	9784771035997	032002095	NOBN_20220310_アジア労働法入門_01	1	0	title_normalized_exact	2026-06-22	アジア労働法入門
clean_random	alo:book:manual:title_5060	9784803724912	029454300	NOBN_20190215_取調べハンドブック_01	1	0	title_normalized_exact	2026-06-22	取調べハンドブック
clean_random	alo:book:isbn:9784502364013	9784502364013	030669334	NOBN_20201014_金融機関のための気候変動リスク管理_01	1	0	title_normalized_exact	2026-06-22	金融機関のための気候変動リスク管理
clean_random	alo:book:isbn:9784539729649	9784539729649	032784343	NOBN_20230511_MAを成功に導く_中小企業のPMI実践マニュアル_01	1	0	title_normalized_exact	2026-06-22	M&Aを成功に導く中小企業のPMI実践マニュアル
clean_random	alo:book:isbn:9784817847539	9784817847539	032494627	NOBN_20221101_QA_傷害・医療保険に関する法律と実務_01	1	0	title_normalized_exact	2026-06-22	Q&A傷害・医療保険に関する法律と実務
clean_random	alo:book:isbn:9784788285781	9784788285781	029639458	NOBN_20190528_不動産取引における_心理的瑕疵・環境瑕疵_対応のポイント_01	1	0	title_normalized_exact	2026-06-22	不動産取引における心理的瑕疵・環境瑕疵対応のポイント
clean_random	alo:book:isbn:9784502233210	9784502233210	028459197	NOBN_20170901_ステージ別ベンチャー企業の労務戦略_01	1	0	title_normalized_exact	2026-06-22	ステージ別ベンチャー企業の労務戦略
clean_random	alo:book:isbn:9784909712035	9784909712035	029403582	NOBN_20181029_詳説_個人情報保護法_01	1	0	title_normalized_exact	2026-06-22	詳説個人情報保護法
clean_random	alo:book:manual:title_3008	9784788293632	033534681	NOBN_20240614_QA_未分割遺産の税務_01	1	0	title_normalized_exact	2026-06-22	Q&A未分割遺産の税務
clean_random	alo:book:isbn:9784817842787	9784817842787	026985181	NOBN_20151216_一般社団法人・財団法人制度と登記の実務_01	1	0	title_normalized_exact	2026-06-22	一般社団法人・財団法人制度と登記の実務
clean_random	alo:book:isbn:9784539729403	9784539729403	032568964	NOBN_20221220_事例分析による_税賠事故リスク回避マニュアル_01	1	0	title_normalized_exact	2026-06-22	事例分析による税賠事故リスク回避マニュアル
clean_random	alo:book:isbn:9784260048064	9784260048064	031981292	NOBN_20220215_トラブルを未然に防ぐカルテの書き方_01	1	0	title_normalized_exact	2026-06-22	トラブルを未然に防ぐカルテの書き方
clean_random	alo:book:manual:title_3588	9784863263406	032564014	NOBN_20230121_労働判例から経営を学ぶ15講_01	1	0	title_normalized_exact	2026-06-22	労働判例から経営を学ぶ15講
