content_id,title,publisher,isbn,pub_site,authors,release_date,n_templates,word,pdf,excel,dl_signal,dvd_signal,reader_url
504a7dc8c02d986dcb7e8e37014d4f3f4a208c10fd226b1e1f3cff4b2c2d1e78,新・会社法実務問題シリーズ／７会社議事録の作り方〈第３版〉,中央経済社,9784502430213,https://www.biz-book.jp/isbn/978-4-502-43021-3,"森・濱田松本法律事務所, 松井秀樹",2022/06/09,321,321,0,0,0,0,https://library.bengo4.com/reader/?cid=504a7dc8c02d986dcb7e8e37014d4f3f4a208c10fd226b1e1f3cff4b2c2d1e78&sort=default
7e64090b2a4cc89136e552ef3bb82900473ba570f4b9e7f3421316dd88b444ad,企業労働法実務入門【書式編】,日本リーダーズ協会,9784890170111,https://www.amazon.co.jp/dp/4890170111,企業人事労務研究会,2016/04/15,304,278,7,19,0,0,https://library.bengo4.com/reader/?cid=7e64090b2a4cc89136e552ef3bb82900473ba570f4b9e7f3421316dd88b444ad&sort=default
e25d09ca0ae43c120aac2dc9bede1d0fb8157898db4d485d8be88a1b23b183ad,会社法務書式集〈第3版〉,中央経済社,9784502465314,https://www.biz-book.jp/isbn/978-4-502-46531-4,"神﨑満治郎, 金子登志雄, 鈴木龍介, 株式会社リーガル",2023/07/27,238,238,0,0,0,0,https://library.bengo4.com/reader/?cid=e25d09ca0ae43c120aac2dc9bede1d0fb8157898db4d485d8be88a1b23b183ad&sort=default
95ab9131bac9c947fd160ab662c22a005bb81eac3bc3fa19662d302272596a06,問題社員をめぐるトラブル予防・対応文例集,新日本法規出版,,https://www.sn-hoki.co.jp/shop/item/5100176,"芦原一郎, 岩田浩",2021/06/01,200,200,0,0,0,0,https://library.bengo4.com/reader/?cid=95ab9131bac9c947fd160ab662c22a005bb81eac3bc3fa19662d302272596a06&sort=default
999ca9c058911dea0e4de53406dac422fcfbbb4d2892a3078b3fdaf466bc858f,株式会社・各種法人別 清算手続と書式,新日本法規出版,,https://www.sn-hoki.co.jp/shop/item/5100206,尾島史賢,2022/01/01,176,171,0,5,0,0,https://library.bengo4.com/reader/?cid=999ca9c058911dea0e4de53406dac422fcfbbb4d2892a3078b3fdaf466bc858f&sort=default
6bd54c096d54bde03c14c11ab869a0855857cc4dc101b784668dd14961930d99,事例解説 合同会社の登記,日本加除出版,,https://www.kajo.co.jp/c/book/02/0203/40853000001,泉水 悟,2021/03/01,162,162,0,0,0,0,https://library.bengo4.com/reader/?cid=6bd54c096d54bde03c14c11ab869a0855857cc4dc101b784668dd14961930d99&sort=default
793fd2e98a1928a140bb2d24c624ff8a0e77d30bba2348d49be847284f84521b,刑事弁護ビギナーズver.2.1,現代人文社,9784877987206,http://www.genjin.jp/book/b427613.html,,2019/03/30,147,71,76,0,0,1,https://library.bengo4.com/reader/?cid=793fd2e98a1928a140bb2d24c624ff8a0e77d30bba2348d49be847284f84521b&sort=default
794f0a0279ba1e3f9f7af1d0cac53e15391b0311f6237945294b81738d32fd10,民法改正対応 契約書式の実務 上,創耕舎,9784908621093,https://soko-sha.com/publication/98/,"犬塚 浩, 永 滋康, 第二東京弁護士会五月会",2019/11/26,144,144,0,0,0,0,https://library.bengo4.com/reader/?cid=794f0a0279ba1e3f9f7af1d0cac53e15391b0311f6237945294b81738d32fd10&sort=default
999c43ebadfc0a01af2e61ac2f284649b270d196f808d878067501da461e52ca,民法改正対応 契約書式の実務 下,創耕舎,9784908621109,https://soko-sha.com/publication/104/,"犬塚 浩, 永 滋康, 第二東京弁護士会五月会",2019/11/26,131,131,0,0,0,0,https://library.bengo4.com/reader/?cid=999c43ebadfc0a01af2e61ac2f284649b270d196f808d878067501da461e52ca&sort=default
90efc905bc88d8a2f9af4389d9b5cfbb4ccc2fc4ec53a45a6365a0622f30cfde,隣地をめぐるトラブル予防・解決文例集,新日本法規出版,,https://www.sn-hoki.co.jp/shop/item/5100144,"馬橋隆紀, 多田幸生, 幸田宏, 中野仁, 古屋丈順, 大谷和夫, 平野正也, 平本沙乙里",2020/10/01,126,126,0,0,0,0,https://library.bengo4.com/reader/?cid=90efc905bc88d8a2f9af4389d9b5cfbb4ccc2fc4ec53a45a6365a0622f30cfde&sort=default
47a2aa8ce30e46db0a4c9e2be77658b070d99254e03bc08daac22093431c46ad,第2版 一人でつくれる契約書・内容証明郵便の文例集,日本加除出版,,https://www.kajo.co.jp/book/40284000002.html,"安達 敏男, 吉川 樹士",2017/10/01,126,126,0,0,1,0,https://library.bengo4.com/reader/?cid=47a2aa8ce30e46db0a4c9e2be77658b070d99254e03bc08daac22093431c46ad&sort=default
1f9202f5cf0d04e09b6a7aee9d79c81133163af5ce41515d5f87107091f3f520,相続人不存在・不在者 財産管理の手続と書式,新日本法規出版,,https://www.sn-hoki.co.jp/shop/item/5100137,"濵田憲孝, 鳥羽浩司, 戸門大祐",2020/08/01,112,112,0,0,0,0,https://library.bengo4.com/reader/?cid=1f9202f5cf0d04e09b6a7aee9d79c81133163af5ce41515d5f87107091f3f520&sort=default
2bb36a3ec9fd5b620dd2fabe4c147a03bf1a77f1568abd825ea1b19429985254,情状弁護アドバンス,現代人文社,9784877987367,http://www.genjin.jp/book/b486633.html,季刊刑事弁護増刊,2019/10/25,111,77,31,3,0,0,https://library.bengo4.com/reader/?cid=2bb36a3ec9fd5b620dd2fabe4c147a03bf1a77f1568abd825ea1b19429985254&sort=default
1ae3ee106fb567b2ef870803dd811fd269c9445ec3a4696e5c2886a2048bc1c8,ケース別 遺言書作成のポイントとモデル文例,新日本法規出版,,https://www.sn-hoki.co.jp/shop/item/5100249,山田知司,2022/12/09,110,110,0,0,0,0,https://library.bengo4.com/reader/?cid=1ae3ee106fb567b2ef870803dd811fd269c9445ec3a4696e5c2886a2048bc1c8&sort=default
8ff99455e49be531e6b7b71c5f6bb5ad11f67e7c528b3ab05f974e4afa0c45e3,一般／公益 社団・財団法人 議事録モデル文例集,新日本法規出版,,https://www.sn-hoki.co.jp/shop/item/5100273,"内藤卓, 岡田高紀, 日高啓太郎",2023/06/01,108,108,0,0,0,0,https://library.bengo4.com/reader/?cid=8ff99455e49be531e6b7b71c5f6bb5ad11f67e7c528b3ab05f974e4afa0c45e3&sort=default
4bd46914919f2141523a335e4010b4fa29116109ee87fb05579ece1300b5f1aa,聴ける！実用法律書 事業者必携 風俗営業法と飲食業許可申請・届出のしくみと手続き,三修社,9784384049787,https://www.sanshusha.co.jp/np/isbn/9784384049787/,服部真和,2025/12/20,105,2,103,0,0,0,https://library.bengo4.com/reader/?cid=4bd46914919f2141523a335e4010b4fa29116109ee87fb05579ece1300b5f1aa&sort=default
cc26625979f3e3d6317700a93461ea864e5f5161d9b896257435dbf320b8b341,聴ける！実用法律書 事業者必携 出産・育児・介護休業のための法律と実務,三修社,9784384049671,https://www.sanshusha.co.jp/np/isbn/9784384049671/,近藤美穂,2025/07/20,100,2,98,0,0,0,https://library.bengo4.com/reader/?cid=cc26625979f3e3d6317700a93461ea864e5f5161d9b896257435dbf320b8b341&sort=default
175ad08634b6b7f61f4fe46717eebbca74de1d9024afb7f8cb816b2b4da3fba3,スキルアップ法律事務 裁判所提出書類の作り方・集め方 民事訴訟／保全／執行,日本加除出版,,https://www.kajo.co.jp/c/book/06/0606/40528000001,矢野 公一,2011/08/01,92,92,0,0,0,0,https://library.bengo4.com/reader/?cid=175ad08634b6b7f61f4fe46717eebbca74de1d9024afb7f8cb816b2b4da3fba3&sort=default
87c46f9f881ee0e04c93a6f64cfcf61721ac014abbed67a665cffa97bcf6e4f6,事業者必携 三訂版 建設業から風俗営業、入管手続き、ドローンまで 許認可手続きと申請書類の書き方,三修社,9784384049534,https://www.sanshusha.co.jp/np/isbn/9784384049534/,服部真和,2024/12/20,91,3,88,0,0,0,https://library.bengo4.com/reader/?cid=87c46f9f881ee0e04c93a6f64cfcf61721ac014abbed67a665cffa97bcf6e4f6&sort=default
c01294c98ba457bc073d984f8db2f65e00a3e45b99ae3cdcac89e09deca73831,近隣トラブル 解決のポイントと和解条項,新日本法規出版,,https://www.sn-hoki.co.jp/shop/item/5100226,"橋本潤, 三森敏明, 髙畠希之, 古屋丈順, 新名修三, 森本憲司郎, 濵島幸子, 下川慶子",2022/07/01,90,90,0,0,0,0,https://library.bengo4.com/reader/?cid=c01294c98ba457bc073d984f8db2f65e00a3e45b99ae3cdcac89e09deca73831&sort=default
b1cdc7bb006913fa9414e17708028dac03e505f5b49ca6f4ba6ef79523d587b6,不動産ファイナンスの法務と契約実務,中央経済社,9784502392511,https://www.biz-book.jp/isbn/978-4-502-39251-1,植松貴史,2022/06/14,86,86,0,0,0,0,https://library.bengo4.com/reader/?cid=b1cdc7bb006913fa9414e17708028dac03e505f5b49ca6f4ba6ef79523d587b6&sort=default
8d5f32bfd3de242587feaeb0550f7038977c28309329bfa29547c163d2b47a07,事業者必携 改訂新版 介護事業者のための 最新 介護福祉サービス申請手続きと書式,三修社,9784384049589,https://www.sanshusha.co.jp/np/isbn/9784384049589/,若林美佳,2025/02/20,84,0,84,0,0,0,https://library.bengo4.com/reader/?cid=8d5f32bfd3de242587feaeb0550f7038977c28309329bfa29547c163d2b47a07&sort=default
197c7477ef4621228d44aa829ada6bbc9bea846957d82ca9b696af078c436412,事業者必携 改訂新版 記載例つき 民泊ビジネス運営のための住宅宿泊事業法と旅館業法のしくみと手続き,三修社,9784384049350,https://www.sanshusha.co.jp/np/isbn/9784384049350/,服部 真和,2024/03/20,83,4,79,0,0,0,https://library.bengo4.com/reader/?cid=197c7477ef4621228d44aa829ada6bbc9bea846957d82ca9b696af078c436412&sort=default
b90cbe43a9fb0c97e020e0338181a6a1c8f6110f7f9a0578e987508fe51e35cf,改訂 会社非訟申立ての実務＋申立書式集,日本加除出版,,https://www.kajo.co.jp/book/40493000002.html,"池田 浩一郎, 田伏 岳人, 西谷 昌樹, 深山 徹, 本井 克樹",2018/04/01,80,80,0,0,1,0,https://library.bengo4.com/reader/?cid=b90cbe43a9fb0c97e020e0338181a6a1c8f6110f7f9a0578e987508fe51e35cf&sort=default
f433e42131a1c122ad690f189cf66fd588a3a3402a075e039d85797544a80ec6,家事審判における 抗告の理由,新日本法規出版,,https://www.sn-hoki.co.jp/shop/item/5100321,"林醇, 山田庸男, 増田広充, 杉野龍太, 辻映穂",2024/05/20,78,78,0,0,0,0,https://library.bengo4.com/reader/?cid=f433e42131a1c122ad690f189cf66fd588a3a3402a075e039d85797544a80ec6&sort=default
8e5fb04bde6156972105be29689f8474f595e31102d565b3deae78508719f1b8,最新 ハラスメント対策 モデル文例集,新日本法規出版,,https://www.sn-hoki.co.jp/shop/item/5100189,石井逸郎,2021/10/01,77,77,0,0,0,0,https://library.bengo4.com/reader/?cid=8e5fb04bde6156972105be29689f8474f595e31102d565b3deae78508719f1b8&sort=default
